tensor(4.5180, grad_fn=<NllLoss2DBackward>)
tensor(4.5657, grad_fn=<NllLoss2DBackward>)
tensor(3.9784, grad_fn=<NllLoss2DBackward>)
tensor(4.4740, grad_fn=<NllLoss2DBackward>)
tensor(3.5212, grad_fn=<NllLoss2DBackward>)
tensor(3.2333, grad_fn=<NllLoss2DBackward>)
tensor(4.0806, grad_fn=<NllLoss2DBackward>)
tensor(4.2111, grad_fn=<NllLoss2DBackward>)
tensor(3.6493, grad_fn=<NllLoss2DBackward>)
tensor(3.9569, grad_fn=<NllLoss2DBackward>)
tensor(3.4444, grad_fn=<NllLoss2DBackward>)
tensor(3.8167, grad_fn=<NllLoss2DBackward>)
tensor(3.9106, grad_fn=<NllLoss2DBackward>)
tensor(3.4358, grad_fn=<NllLoss2DBackward>)
tensor(3.6119, grad_fn=<NllLoss2DBackward>)
tensor(3.4407, grad_fn=<NllLoss2DBackward>)
tensor(2.8922, grad_fn=<NllLoss2DBackward>)
tensor(3.3241, grad_fn=<NllLoss2DBackward>)
tensor(3.4585, grad_fn=<NllLoss2DBackward>)
tensor(3.7542, grad_fn=<NllLoss2DBackward>)
tensor(2.7858, grad_fn=<NllLoss2DBackward>)
tensor(3.0312, grad_fn=<NllLoss2DBackward>)
tensor(3.7296, grad_fn=<NllLoss2DBackward>)
tensor(3.6878, grad_fn=<NllLoss2DBackward>)
tensor(3.3010, grad_fn=<NllLoss2DBackward>)
tensor(3.3783, grad_fn=<NllLoss2DBackward>)
tensor(3.3047, grad_fn=<NllLoss2DBackward>)
tensor(3.6231, grad_fn=<NllLoss2DBackward>)
tensor(3.8078, grad_fn=<NllLoss2DBackward>)
tensor(3.7655, grad_fn=<NllLoss2DBackward>)
tensor(3.3767, grad_fn=<NllLoss2DBackward>)
tensor(3.5231, grad_fn=<NllLoss2DBackward>)
tensor(3.3487, grad_fn=<NllLoss2DBackward>)
tensor(3.3697, grad_fn=<NllLoss2DBackward>)
tensor(3.6231, grad_fn=<NllLoss2DBackward>)
tensor(3.8509, grad_fn=<NllLoss2DBackward>)
tensor(3.4357, grad_fn=<NllLoss2DBackward>)
tensor(3.0187, grad_fn=<NllLoss2DBackward>)
tensor(3.2427, grad_fn=<NllLoss2DBackward>)
tensor(3.2886, grad_fn=<NllLoss2DBackward>)
tensor(3.4655, grad_fn=<NllLoss2DBackward>)
tensor(2.1511, grad_fn=<NllLoss2DBackward>)
tensor(3.4568, grad_fn=<NllLoss2DBackward>)
tensor(3.4419, grad_fn=<NllLoss2DBackward>)
tensor(3.5919, grad_fn=<NllLoss2DBackward>)
tensor(3.9457, grad_fn=<NllLoss2DBackward>)
tensor(3.1667, grad_fn=<NllLoss2DBackward>)
tensor(3.5985, grad_fn=<NllLoss2DBackward>)
tensor(3.2612, grad_fn=<NllLoss2DBackward>)
tensor(3.0380, grad_fn=<NllLoss2DBackward>)
tensor(3.7271, grad_fn=<NllLoss2DBackward>)
tensor(3.3378, grad_fn=<NllLoss2DBackward>)
tensor(2.8147, grad_fn=<NllLoss2DBackward>)
tensor(3.0865, grad_fn=<NllLoss2DBackward>)
tensor(3.3393, grad_fn=<NllLoss2DBackward>)
