tensor(0.1226, grad_fn=<DivBackward0>)
tensor(0.1235, grad_fn=<DivBackward0>)
tensor(0.1534, grad_fn=<DivBackward0>)
tensor(0.1573, grad_fn=<DivBackward0>)
tensor(0.1048, grad_fn=<DivBackward0>)
tensor(0.1162, grad_fn=<DivBackward0>)
tensor(0.1256, grad_fn=<DivBackward0>)
tensor(0.1072, grad_fn=<DivBackward0>)
tensor(0.1059, grad_fn=<DivBackward0>)
tensor(0.1177, grad_fn=<DivBackward0>)
tensor(0.1721, grad_fn=<DivBackward0>)
tensor(0.1173, grad_fn=<DivBackward0>)
tensor(0.0970, grad_fn=<DivBackward0>)
tensor(0.1335, grad_fn=<DivBackward0>)
tensor(0.1266, grad_fn=<DivBackward0>)
tensor(0.1319, grad_fn=<DivBackward0>)
tensor(0.1476, grad_fn=<DivBackward0>)
tensor(0.1013, grad_fn=<DivBackward0>)
tensor(0.1189, grad_fn=<DivBackward0>)
tensor(0.1955, grad_fn=<DivBackward0>)
tensor(0.1086, grad_fn=<DivBackward0>)
tensor(0.1421, grad_fn=<DivBackward0>)
tensor(0.1517, grad_fn=<DivBackward0>)
tensor(0.1592, grad_fn=<DivBackward0>)
tensor(0.1116, grad_fn=<DivBackward0>)
tensor(0.1075, grad_fn=<DivBackward0>)
tensor(0.1638, grad_fn=<DivBackward0>)
tensor(0.1208, grad_fn=<DivBackward0>)
tensor(0.1697, grad_fn=<DivBackward0>)
tensor(0.1410, grad_fn=<DivBackward0>)
tensor(0.1409, grad_fn=<DivBackward0>)
tensor(0.1306, grad_fn=<DivBackward0>)
tensor(0.1201, grad_fn=<DivBackward0>)
tensor(0.1390, grad_fn=<DivBackward0>)
tensor(0.1485, grad_fn=<DivBackward0>)
tensor(0.1291, grad_fn=<DivBackward0>)
tensor(0.1279, grad_fn=<DivBackward0>)
tensor(0.1319, grad_fn=<DivBackward0>)
tensor(0.1173, grad_fn=<DivBackward0>)
tensor(0.1453, grad_fn=<DivBackward0>)
tensor(0.1159, grad_fn=<DivBackward0>)
tensor(0.1224, grad_fn=<DivBackward0>)
tensor(0.1382, grad_fn=<DivBackward0>)
tensor(0.1187, grad_fn=<DivBackward0>)
tensor(0.1123, grad_fn=<DivBackward0>)
tensor(0.1125, grad_fn=<DivBackward0>)
tensor(0.1275, grad_fn=<DivBackward0>)
tensor(0.1196, grad_fn=<DivBackward0>)
tensor(0.1255, grad_fn=<DivBackward0>)
tensor(0.1170, grad_fn=<DivBackward0>)
tensor(0.1318, grad_fn=<DivBackward0>)
tensor(0.1144, grad_fn=<DivBackward0>)
tensor(0.1150, grad_fn=<DivBackward0>)
tensor(0.1213, grad_fn=<DivBackward0>)
tensor(0.1706, grad_fn=<DivBackward0>)
tensor(0.1425, grad_fn=<DivBackward0>)
tensor(0.1348, grad_fn=<DivBackward0>)
tensor(0.1465, grad_fn=<DivBackward0>)
