tensor(0.1977, grad_fn=<MeanBackward0>)
tensor(0.1802, grad_fn=<MeanBackward0>)
tensor(0.1691, grad_fn=<MeanBackward0>)
tensor(0.1818, grad_fn=<MeanBackward0>)
tensor(0.1687, grad_fn=<MeanBackward0>)
tensor(0.1674, grad_fn=<MeanBackward0>)
tensor(0.1696, grad_fn=<MeanBackward0>)
tensor(0.1692, grad_fn=<MeanBackward0>)
tensor(0.1658, grad_fn=<MeanBackward0>)
tensor(0.1628, grad_fn=<MeanBackward0>)
tensor(0.1590, grad_fn=<MeanBackward0>)
tensor(0.1598, grad_fn=<MeanBackward0>)
tensor(0.1552, grad_fn=<MeanBackward0>)
tensor(0.1464, grad_fn=<MeanBackward0>)
tensor(0.1437, grad_fn=<MeanBackward0>)
tensor(0.1445, grad_fn=<MeanBackward0>)
tensor(0.1447, grad_fn=<MeanBackward0>)
tensor(0.1437, grad_fn=<MeanBackward0>)
tensor(0.1436, grad_fn=<MeanBackward0>)
tensor(0.1422, grad_fn=<MeanBackward0>)
tensor(0.1292, grad_fn=<MeanBackward0>)
tensor(0.1282, grad_fn=<MeanBackward0>)
tensor(0.1366, grad_fn=<MeanBackward0>)
tensor(0.1343, grad_fn=<MeanBackward0>)
tensor(0.1403, grad_fn=<MeanBackward0>)
tensor(0.1243, grad_fn=<MeanBackward0>)
tensor(0.1388, grad_fn=<MeanBackward0>)
tensor(0.1191, grad_fn=<MeanBackward0>)
tensor(0.1214, grad_fn=<MeanBackward0>)
tensor(0.1210, grad_fn=<MeanBackward0>)
tensor(0.1351, grad_fn=<MeanBackward0>)
tensor(0.1419, grad_fn=<MeanBackward0>)
tensor(0.1136, grad_fn=<MeanBackward0>)
tensor(0.1176, grad_fn=<MeanBackward0>)
tensor(0.1124, grad_fn=<MeanBackward0>)
tensor(0.1184, grad_fn=<MeanBackward0>)
tensor(0.1097, grad_fn=<MeanBackward0>)
tensor(0.1132, grad_fn=<MeanBackward0>)
tensor(0.1178, grad_fn=<MeanBackward0>)
tensor(0.1091, grad_fn=<MeanBackward0>)
tensor(0.1031, grad_fn=<MeanBackward0>)
tensor(0.0893, grad_fn=<MeanBackward0>)
tensor(0.1018, grad_fn=<MeanBackward0>)
tensor(0.1006, grad_fn=<MeanBackward0>)
tensor(0.1034, grad_fn=<MeanBackward0>)
tensor(0.1021, grad_fn=<MeanBackward0>)
tensor(0.1007, grad_fn=<MeanBackward0>)
tensor(0.1148, grad_fn=<MeanBackward0>)
tensor(0.0992, grad_fn=<MeanBackward0>)
tensor(0.0973, grad_fn=<MeanBackward0>)
tensor(0.1202, grad_fn=<MeanBackward0>)
tensor(0.1036, grad_fn=<MeanBackward0>)
tensor(0.0849, grad_fn=<MeanBackward0>)
tensor(0.0902, grad_fn=<MeanBackward0>)
tensor(0.0975, grad_fn=<MeanBackward0>)
tensor(0.0985, grad_fn=<MeanBackward0>)
tensor(0.0995, grad_fn=<MeanBackward0>)
tensor(0.0913, grad_fn=<MeanBackward0>)
tensor(0.1001, grad_fn=<MeanBackward0>)
tensor(0.0862, grad_fn=<MeanBackward0>)
